Spatial Frequency(Hz),Modulation(0-1),System time(milliseconds),Target Position(pixels),Cursor Position(pixels),Error(pixels),x-axis gain
16.0,0.0,1435093384264,380.0,160.0,220.0,2.0,
16.0,0.0,1435093384272,380.0,160.0,220.0,2.0,
16.0,0.0,1435093384281,383.0,160.0,223.0,2.0,
16.0,0.0,1435093384290,383.0,160.0,223.0,2.0,
16.0,0.0,1435093384301,383.0,160.0,223.0,2.0,
16.0,0.0,1435093384308,386.0,160.0,226.0,2.0,
16.0,0.0,1435093384319,386.0,160.0,226.0,2.0,
16.0,0.0,1435093384329,386.0,160.0,226.0,2.0,
16.0,0.0,1435093384338,386.0,160.0,226.0,2.0,
16.0,0.0,1435093384350,389.0,160.0,229.0,2.0,
16.0,0.0,1435093384358,389.0,160.0,229.0,2.0,
16.0,0.0,1435093384368,389.0,160.0,229.0,2.0,
16.0,0.0,1435093384378,392.0,160.0,232.0,2.0,
16.0,0.0,1435093384386,392.0,160.0,232.0,2.0,
16.0,0.0,1435093384394,392.0,160.0,232.0,2.0,
16.0,0.0,1435093384406,392.0,160.0,232.0,2.0,
16.0,0.0,1435093384417,392.0,160.0,232.0,2.0,
16.0,0.0,1435093384425,392.0,160.0,232.0,2.0,
16.0,0.0,1435093384437,392.0,160.0,232.0,2.0,
16.0,0.0,1435093384446,395.0,160.0,235.0,2.0,
16.0,0.0,1435093384458,395.0,160.0,235.0,2.0,
16.0,0.0,1435093384468,395.0,160.0,235.0,2.0,
16.0,0.0,1435093384477,395.0,160.0,235.0,2.0,
16.0,0.0,1435093384485,395.0,160.0,235.0,2.0,
16.0,0.0,1435093384494,395.0,160.0,235.0,2.0,
16.0,0.0,1435093384506,395.0,160.0,235.0,2.0,
16.0,0.0,1435093384518,398.0,160.0,238.0,2.0,
16.0,0.0,1435093384527,398.0,160.0,238.0,2.0,
16.0,0.0,1435093384539,398.0,160.0,238.0,2.0,
16.0,0.0,1435093384554,398.0,160.0,238.0,2.0,
16.0,0.0,1435093384563,398.0,160.0,238.0,2.0,
16.0,0.0,1435093384572,398.0,160.0,238.0,2.0,
16.0,0.0,1435093384586,400.0,160.0,240.0,2.0,
16.0,0.0,1435093384594,400.0,160.0,240.0,2.0,
16.0,0.0,1435093384602,400.0,160.0,240.0,2.0,
16.0,0.0,1435093384612,402.0,160.0,242.0,2.0,
16.0,0.0,1435093384621,402.0,160.0,242.0,2.0,
16.0,0.0,1435093384630,402.0,160.0,242.0,2.0,
16.0,0.0,1435093384640,405.0,160.0,245.0,2.0,
16.0,0.0,1435093384649,405.0,160.0,245.0,2.0,
16.0,0.0,1435093384658,405.0,160.0,245.0,2.0,
16.0,0.0,1435093384666,405.0,160.0,245.0,2.0,
16.0,0.0,1435093384675,406.0,160.0,246.0,2.0,
16.0,0.0,1435093384691,406.0,160.0,246.0,2.0,
16.0,0.0,1435093384703,406.0,160.0,246.0,2.0,
16.0,0.0,1435093384713,407.0,160.0,247.0,2.0,
16.0,0.0,1435093384720,407.0,160.0,247.0,2.0,
16.0,0.0,1435093384728,407.0,160.0,247.0,2.0,
16.0,0.0,1435093384735,407.0,160.0,247.0,2.0,
16.0,0.0,1435093384743,407.0,160.0,247.0,2.0,
16.0,0.0,1435093384753,407.0,160.0,247.0,2.0,
16.0,0.0,1435093384762,407.0,160.0,247.0,2.0,
16.0,0.0,1435093384771,407.0,160.0,247.0,2.0,
16.0,0.0,1435093384780,1048.0,160.0,888.0,2.0,
16.0,0.0,1435093384790,1048.0,160.0,888.0,2.0,
16.0,0.0,1435093384799,1048.0,160.0,888.0,2.0,
16.0,0.0,1435093384808,1048.0,160.0,888.0,2.0,
16.0,0.0,1435093384816,1048.0,160.0,888.0,2.0,
16.0,0.0,1435093384827,1048.0,160.0,888.0,2.0,
16.0,0.0,1435093384835,1048.0,160.0,888.0,2.0,
16.0,0.0,1435093384844,1049.0,160.0,889.0,2.0,
16.0,0.0,1435093384852,1049.0,160.0,889.0,2.0,
16.0,0.0,1435093384861,1049.0,160.0,889.0,2.0,
16.0,0.0,1435093384868,1049.0,160.0,889.0,2.0,
16.0,0.0,1435093384875,1049.0,160.0,889.0,2.0,
16.0,0.0,1435093384883,1049.0,160.0,889.0,2.0,
16.0,0.0,1435093384892,1049.0,160.0,889.0,2.0,
16.0,0.0,1435093384900,1049.0,160.0,889.0,2.0,
16.0,0.0,1435093384909,1050.0,160.0,890.0,2.0,
16.0,0.0,1435093384917,1050.0,160.0,890.0,2.0,
16.0,0.0,1435093384925,1050.0,160.0,890.0,2.0,
16.0,0.0,1435093384934,1050.0,160.0,890.0,2.0,
16.0,0.0,1435093384947,1050.0,160.0,890.0,2.0,
16.0,0.0,1435093384957,1050.0,160.0,890.0,2.0,
16.0,0.0,1435093384966,1050.0,160.0,890.0,2.0,
16.0,0.0,1435093384975,1050.0,160.0,890.0,2.0,
16.0,0.0,1435093384984,1050.0,160.0,890.0,2.0,
16.0,0.0,1435093384994,1050.0,160.0,890.0,2.0,
16.0,0.0,1435093385000,1050.0,160.0,890.0,2.0,
16.0,0.0,1435093385009,1051.0,160.0,891.0,2.0,
16.0,0.0,1435093385018,1051.0,160.0,891.0,2.0,
16.0,0.0,1435093385028,1051.0,160.0,891.0,2.0,
16.0,0.0,1435093385036,1051.0,160.0,891.0,2.0,
16.0,0.0,1435093385047,1051.0,160.0,891.0,2.0,
16.0,0.0,1435093385056,1051.0,160.0,891.0,2.0,
16.0,0.0,1435093385065,1051.0,160.0,891.0,2.0,
16.0,0.0,1435093385073,1053.0,160.0,893.0,2.0,
16.0,0.0,1435093385083,1053.0,160.0,893.0,2.0,
16.0,0.0,1435093385092,1053.0,160.0,893.0,2.0,
16.0,0.0,1435093385101,1053.0,160.0,893.0,2.0,
16.0,0.0,1435093385111,1053.0,160.0,893.0,2.0,
16.0,0.0,1435093385118,1053.0,160.0,893.0,2.0,
16.0,0.0,1435093385128,1053.0,160.0,893.0,2.0,
16.0,0.0,1435093385139,1053.0,160.0,893.0,2.0,
16.0,0.0,1435093385148,1056.0,160.0,896.0,2.0,
16.0,0.0,1435093385157,1056.0,160.0,896.0,2.0,
16.0,0.0,1435093385166,1056.0,160.0,896.0,2.0,
16.0,0.0,1435093385176,1057.0,160.0,897.0,2.0,
16.0,0.0,1435093385184,1057.0,160.0,897.0,2.0,
16.0,0.0,1435093385193,1057.0,160.0,897.0,2.0,
16.0,0.0,1435093385201,1057.0,160.0,897.0,2.0,
16.0,0.0,1435093385209,1057.0,160.0,897.0,2.0,
16.0,0.0,1435093385218,1057.0,160.0,897.0,2.0,
16.0,0.0,1435093385227,1057.0,160.0,897.0,2.0,
16.0,0.0,1435093385238,1057.0,160.0,897.0,2.0,
16.0,0.0,1435093385247,1057.0,160.0,897.0,2.0,
16.0,0.0,1435093385257,1057.0,160.0,897.0,2.0,
16.0,0.0,1435093385265,1057.0,160.0,897.0,2.0,
16.0,0.0,1435093385273,1057.0,160.0,897.0,2.0,
16.0,0.0,1435093385282,1057.0,160.0,897.0,2.0,
16.0,0.0,1435093385292,1057.0,160.0,897.0,2.0,
16.0,0.0,1435093385302,1057.0,160.0,897.0,2.0,
16.0,0.0,1435093385315,1057.0,160.0,897.0,2.0,
16.0,0.0,1435093385326,1057.0,160.0,897.0,2.0,
16.0,0.0,1435093385334,1057.0,160.0,897.0,2.0,
16.0,0.0,1435093385343,1055.0,160.0,895.0,2.0,
16.0,0.0,1435093385353,1055.0,160.0,895.0,2.0,
16.0,0.0,1435093385362,1055.0,160.0,895.0,2.0,
16.0,0.0,1435093385369,1055.0,160.0,895.0,2.0,
16.0,0.0,1435093385379,1052.0,160.0,892.0,2.0,
16.0,0.0,1435093385388,1052.0,160.0,892.0,2.0,
16.0,0.0,1435093385398,1052.0,160.0,892.0,2.0,
16.0,0.0,1435093385409,1049.0,160.0,889.0,2.0,
16.0,0.0,1435093385416,1049.0,160.0,889.0,2.0,
16.0,0.0,1435093385426,1049.0,160.0,889.0,2.0,
16.0,0.0,1435093385433,1049.0,160.0,889.0,2.0,
16.0,0.0,1435093385442,1046.0,160.0,886.0,2.0,
16.0,0.0,1435093385449,1046.0,160.0,886.0,2.0,
16.0,0.0,1435093385458,1046.0,160.0,886.0,2.0,
16.0,0.0,1435093385468,1046.0,160.0,886.0,2.0,
16.0,0.0,1435093385478,1043.0,160.0,883.0,2.0,
16.0,0.0,1435093385485,1043.0,160.0,883.0,2.0,
16.0,0.0,1435093385494,1043.0,160.0,883.0,2.0,
16.0,0.0,1435093385501,1040.0,160.0,880.0,2.0,
16.0,0.0,1435093385510,1040.0,160.0,880.0,2.0,
16.0,0.0,1435093385517,1040.0,160.0,880.0,2.0,
16.0,0.0,1435093385529,1040.0,160.0,880.0,2.0,
16.0,0.0,1435093385536,1038.0,160.0,878.0,2.0,
16.0,0.0,1435093385546,1038.0,160.0,878.0,2.0,
16.0,0.0,1435093385557,1038.0,160.0,878.0,2.0,
16.0,0.0,1435093385564,1038.0,160.0,878.0,2.0,
16.0,0.0,1435093385574,1037.0,160.0,877.0,2.0,
16.0,0.0,1435093385582,1037.0,160.0,877.0,2.0,
16.0,0.0,1435093385590,1037.0,160.0,877.0,2.0,
16.0,0.0,1435093385599,1037.0,160.0,877.0,2.0,
16.0,0.0,1435093385611,1035.0,160.0,875.0,2.0,
16.0,0.0,1435093385619,1035.0,160.0,875.0,2.0,
16.0,0.0,1435093385628,1035.0,160.0,875.0,2.0,
16.0,0.0,1435093385636,1035.0,160.0,875.0,2.0,
16.0,0.0,1435093385645,1035.0,160.0,875.0,2.0,
16.0,0.0,1435093385654,1035.0,160.0,875.0,2.0,
16.0,0.0,1435093385665,1035.0,160.0,875.0,2.0,
16.0,0.0,1435093385674,1035.0,160.0,875.0,2.0,
16.0,0.0,1435093385682,1035.0,160.0,875.0,2.0,
16.0,0.0,1435093385691,1035.0,160.0,875.0,2.0,
16.0,0.0,1435093385700,1035.0,160.0,875.0,2.0,
16.0,0.0,1435093385709,1035.0,160.0,875.0,2.0,
16.0,0.0,1435093385716,1035.0,160.0,875.0,2.0,
16.0,0.0,1435093385723,1035.0,160.0,875.0,2.0,
16.0,0.0,1435093385731,1035.0,160.0,875.0,2.0,
16.0,0.0,1435093385742,1035.0,160.0,875.0,2.0,
16.0,0.0,1435093385750,1035.0,160.0,875.0,2.0,
16.0,0.0,1435093385768,1035.0,160.0,875.0,2.0,
16.0,0.0,1435093385777,1036.0,160.0,876.0,2.0,
16.0,0.0,1435093385786,1036.0,160.0,876.0,2.0,
16.0,0.0,1435093385796,1036.0,160.0,876.0,2.0,
16.0,0.0,1435093385805,1036.0,160.0,876.0,2.0,
16.0,0.0,1435093385814,1037.0,160.0,877.0,2.0,
