Spatial Frequency(Hz),Modulation(0-1),System time since start (milliseconds),Target Position(pixels),Cursor Position(pixels),Error(pixels),x-axis gain
20.0,1.0,14984,320,320,0.0,4.0,
20.0,1.0,15017,320,320,0.0,4.0,
20.0,1.0,15051,320,320,0.0,4.0,
20.0,1.0,15084,320,320,0.0,4.0,
20.0,1.0,15117,320,320,0.0,4.0,
20.0,1.0,15151,320,320,0.0,4.0,
20.0,1.0,15184,320,320,0.0,4.0,
20.0,1.0,15216,320,320,0.0,4.0,
20.0,1.0,15248,320,320,0.0,4.0,
20.0,1.0,15280,320,320,0.0,4.0,
20.0,1.0,15312,320,320,0.0,4.0,
20.0,1.0,15342,320,320,0.0,4.0,
20.0,1.0,15372,320,320,0.0,4.0,
20.0,1.0,15407,320,320,0.0,4.0,
20.0,1.0,15440,320,320,0.0,4.0,
20.0,1.0,15471,320,320,0.0,4.0,
20.0,1.0,15502,320,320,0.0,4.0,
20.0,1.0,15535,320,320,0.0,4.0,
20.0,1.0,15569,320,320,0.0,4.0,
20.0,1.0,15602,320,320,0.0,4.0,
20.0,1.0,15635,320,320,0.0,4.0,
20.0,1.0,15669,320,320,0.0,4.0,
20.0,1.0,15702,320,320,0.0,4.0,
20.0,1.0,15736,320,320,0.0,4.0,
20.0,1.0,15769,320,320,0.0,4.0,
20.0,1.0,15803,320,320,0.0,4.0,
20.0,1.0,15836,320,320,0.0,4.0,
20.0,1.0,15869,320,320,0.0,4.0,
20.0,1.0,15903,320,320,0.0,4.0,
20.0,1.0,15936,320,320,0.0,4.0,
20.0,1.0,15970,320,320,0.0,4.0,
20.0,1.0,16003,320,320,0.0,4.0,
20.0,1.0,16037,320,320,0.0,4.0,
20.0,1.0,16070,320,320,0.0,4.0,
20.0,1.0,16101,320,320,0.0,4.0,
20.0,1.0,16134,320,320,0.0,4.0,
20.0,1.0,16168,320,320,0.0,4.0,
20.0,1.0,16203,320,320,0.0,4.0,
20.0,1.0,16237,320,320,0.0,4.0,
20.0,1.0,16271,320,320,0.0,4.0,
20.0,1.0,16305,320,320,0.0,4.0,
20.0,1.0,16337,320,320,0.0,4.0,
20.0,1.0,16371,320,320,0.0,4.0,
20.0,1.0,16405,320,320,0.0,4.0,
20.0,1.0,16438,320,320,0.0,4.0,
20.0,1.0,16472,320,320,0.0,4.0,
20.0,1.0,16504,320,320,0.0,4.0,
20.0,1.0,16538,320,320,0.0,4.0,
20.0,1.0,16571,320,320,0.0,4.0,
20.0,1.0,16605,320,320,0.0,4.0,
20.0,1.0,16638,320,320,0.0,4.0,
20.0,1.0,16672,320,320,0.0,4.0,
20.0,1.0,16705,320,320,0.0,4.0,
20.0,1.0,16738,320,320,0.0,4.0,
20.0,1.0,16772,320,320,0.0,4.0,
20.0,1.0,16805,320,320,0.0,4.0,
20.0,1.0,16839,320,320,0.0,4.0,
20.0,1.0,16873,320,320,0.0,4.0,
20.0,1.0,16905,320,320,0.0,4.0,
20.0,1.0,16939,320,320,0.0,4.0,
20.0,1.0,16972,320,320,0.0,4.0,
20.0,1.0,17006,320,320,0.0,4.0,
20.0,1.0,17039,320,320,0.0,4.0,
20.0,1.0,17073,320,320,0.0,4.0,
20.0,1.0,17106,320,320,0.0,4.0,
20.0,1.0,17139,320,320,0.0,4.0,
20.0,1.0,17173,320,320,0.0,4.0,
20.0,1.0,17206,320,320,0.0,4.0,
20.0,1.0,17241,320,320,0.0,4.0,
20.0,1.0,17273,320,320,0.0,4.0,
20.0,1.0,17304,320,320,0.0,4.0,
20.0,1.0,17336,320,320,0.0,4.0,
20.0,1.0,17369,320,320,0.0,4.0,
20.0,1.0,17402,320,320,0.0,4.0,
20.0,1.0,17437,320,320,0.0,4.0,
20.0,1.0,17470,320,320,0.0,4.0,
20.0,1.0,17503,320,320,0.0,4.0,
20.0,1.0,17536,320,320,0.0,4.0,
20.0,1.0,17569,320,320,0.0,4.0,
20.0,1.0,17602,320,320,0.0,4.0,
20.0,1.0,17635,320,320,0.0,4.0,
20.0,1.0,17665,320,320,0.0,4.0,
20.0,1.0,17696,320,320,0.0,4.0,
20.0,1.0,17728,320,320,0.0,4.0,
20.0,1.0,17762,320,320,0.0,4.0,
20.0,1.0,17797,320,320,0.0,4.0,
20.0,1.0,17830,320,320,0.0,4.0,
20.0,1.0,17862,320,320,0.0,4.0,
20.0,1.0,17892,320,320,0.0,4.0,
20.0,1.0,17925,320,320,0.0,4.0,
20.0,1.0,17958,320,320,0.0,4.0,
20.0,1.0,17993,320,320,0.0,4.0,
20.0,1.0,18024,320,320,0.0,4.0,
20.0,1.0,18056,320,320,0.0,4.0,
20.0,1.0,18088,320,320,0.0,4.0,
20.0,1.0,18120,320,320,0.0,4.0,
20.0,1.0,18153,320,320,0.0,4.0,
20.0,1.0,18183,320,320,0.0,4.0,
20.0,1.0,18215,320,320,0.0,4.0,
20.0,1.0,18248,320,320,0.0,4.0,
20.0,1.0,18279,320,320,0.0,4.0,
20.0,1.0,18310,320,320,0.0,4.0,
20.0,1.0,18343,320,320,0.0,4.0,
20.0,1.0,18376,320,320,0.0,4.0,
20.0,1.0,18409,320,320,0.0,4.0,
20.0,1.0,18443,320,320,0.0,4.0,
20.0,1.0,18476,320,320,0.0,4.0,
20.0,1.0,18510,320,320,0.0,4.0,
20.0,1.0,18543,320,320,0.0,4.0,
20.0,1.0,18575,320,320,0.0,4.0,
20.0,1.0,18610,320,320,0.0,4.0,
20.0,1.0,18644,320,320,0.0,4.0,
20.0,1.0,18677,320,320,0.0,4.0,
20.0,1.0,18710,320,320,0.0,4.0,
20.0,1.0,18744,320,320,0.0,4.0,
20.0,1.0,18778,320,320,0.0,4.0,
20.0,1.0,18811,320,320,0.0,4.0,
20.0,1.0,18844,320,320,0.0,4.0,
20.0,1.0,18877,320,320,0.0,4.0,
20.0,1.0,18911,320,320,0.0,4.0,
20.0,1.0,18944,320,320,0.0,4.0,
20.0,1.0,18978,320,320,0.0,4.0,
20.0,1.0,19011,320,320,0.0,4.0,
20.0,1.0,19045,320,320,0.0,4.0,
20.0,1.0,19078,320,320,0.0,4.0,
20.0,1.0,19112,320,320,0.0,4.0,
20.0,1.0,19145,320,320,0.0,4.0,
