Spatial Frequency(Hz),Modulation(0-1),System time since start (milliseconds),Target Position(pixels),Cursor Position(pixels),Error(pixels),x-axis gain
10.0,0.06,9978,684,642,46.09772228646444,0.0,
10.0,0.06,10012,683,642,45.18849411078001,0.0,
10.0,0.06,10045,681,642,43.382023926967726,0.0,
10.0,0.06,10078,679,642,41.593268686170845,0.0,
10.0,0.06,10111,677,642,39.824615503479755,0.0,
10.0,0.06,10145,675,642,38.07886552931954,0.0,
10.0,0.06,10178,674,642,37.21558813185679,0.0,
10.0,0.06,10208,672,642,35.510561809129406,0.0,
10.0,0.06,10241,670,642,33.83784863137726,0.0,
10.0,0.06,10271,668,642,32.202484376209235,0.0,
10.0,0.06,10302,667,642,31.400636936215164,0.0,
10.0,0.06,10332,665,642,29.832867780352597,0.0,
10.0,0.06,10363,664,642,29.068883707497267,0.0,
10.0,0.06,10396,662,642,27.586228448267445,0.0,
10.0,0.06,10430,661,642,26.870057685088806,0.0,
10.0,0.06,10462,660,642,26.1725046566048,0.0,
10.0,0.06,10495,660,642,26.1725046566048,0.0,
10.0,0.06,10526,659,642,25.495097567963924,0.0,
10.0,0.06,10561,658,642,24.839484696748443,0.0,
10.0,0.06,10595,658,642,24.839484696748443,0.0,
10.0,0.06,10625,658,642,24.839484696748443,0.0,
10.0,0.06,10655,658,642,24.839484696748443,0.0,
10.0,0.06,10685,657,642,24.20743687382041,0.0,
10.0,0.06,10715,657,642,24.20743687382041,0.0,
10.0,0.06,10746,657,642,24.20743687382041,0.0,
10.0,0.06,10779,657,642,24.20743687382041,0.0,
10.0,0.06,10812,656,642,23.600847442411894,0.0,
10.0,0.06,10846,656,642,23.600847442411894,0.0,
10.0,0.06,10879,656,642,23.600847442411894,0.0,
10.0,0.06,10913,655,642,23.021728866442675,0.0,
10.0,0.06,10946,655,642,23.021728866442675,0.0,
10.0,0.06,10981,655,642,23.021728866442675,0.0,
10.0,0.06,11013,654,642,22.47220505424423,0.0,
10.0,0.06,11046,653,642,21.95449840010015,0.0,
10.0,0.06,11080,653,642,21.95449840010015,0.0,
10.0,0.06,11112,652,642,21.470910553583888,0.0,
10.0,0.06,11145,651,642,21.02379604162864,0.0,
10.0,0.06,11179,650,642,20.615528128088304,0.0,
10.0,0.06,11213,649,642,20.248456731316587,0.0,
10.0,0.06,11245,649,642,20.248456731316587,0.0,
10.0,0.06,11279,648,642,19.924858845171276,0.0,
10.0,0.06,11313,647,642,19.6468827043885,0.0,
10.0,0.06,11346,647,642,19.6468827043885,0.0,
10.0,0.06,11377,646,642,19.4164878389476,0.0,
10.0,0.06,11408,646,642,19.4164878389476,0.0,
10.0,0.06,11441,646,642,19.4164878389476,0.0,
10.0,0.06,11473,646,642,19.4164878389476,0.0,
10.0,0.06,11504,647,642,19.6468827043885,0.0,
10.0,0.06,11535,647,642,19.6468827043885,0.0,
10.0,0.06,11567,648,642,19.924858845171276,0.0,
10.0,0.06,11597,649,642,20.248456731316587,0.0,
10.0,0.06,11629,651,642,21.02379604162864,0.0,
10.0,0.06,11662,652,642,21.470910553583888,0.0,
10.0,0.06,11695,654,642,22.47220505424423,0.0,
10.0,0.06,11729,1616,642,974.1853006487011,0.0,
10.0,0.06,11762,1618,642,976.184921006261,0.0,
10.0,0.06,11795,1620,642,978.1845429161104,0.0,
10.0,0.06,11829,1623,642,981.183978670667,0.0,
10.0,0.06,11862,1625,642,983.1836044198459,0.0,
10.0,0.06,11895,1627,642,985.1832316884002,0.0,
10.0,0.06,11929,1630,642,988.182675419884,0.0,
10.0,0.06,11962,1632,642,990.1823064466462,0.0,
10.0,0.06,11995,1634,642,992.1819389607937,0.0,
10.0,0.06,12028,1636,642,994.1815729533514,0.0,
10.0,0.06,12062,1638,642,996.1812084154168,0.0,
10.0,0.06,12095,1639,642,997.1810266947522,0.0,
10.0,0.06,12128,1641,642,999.1806643445418,0.0,
10.0,0.06,12160,1642,642,1000.1804837128147,0.0,
10.0,0.06,12195,1643,642,1001.1803034418925,0.0,
10.0,0.06,12225,1643,642,1001.1803034418925,0.0,
10.0,0.06,12257,1643,642,1001.1803034418925,0.0,
10.0,0.06,12289,1643,642,1001.1803034418925,0.0,
10.0,0.06,12319,1643,642,1001.1803034418925,0.0,
10.0,0.06,12350,1642,642,1000.1804837128147,0.0,
10.0,0.06,12380,1641,642,999.1806643445418,0.0,
10.0,0.06,12412,1640,642,998.1808453381582,0.0,
10.0,0.06,12445,1639,642,997.1810266947522,0.0,
10.0,0.06,12478,1637,642,995.1813905012493,0.0,
10.0,0.06,12512,1635,642,993.1817557728293,0.0,
10.0,0.06,12545,1634,642,992.1819389607937,0.0,
10.0,0.06,12578,1632,642,990.1823064466462,0.0,
10.0,0.06,12613,1630,642,988.182675419884,0.0,
10.0,0.06,12645,1628,642,986.1830458895549,0.0,
10.0,0.06,12678,1626,642,984.1834178647799,0.0,
10.0,0.06,12712,1625,642,983.1836044198459,0.0,
10.0,0.06,12745,1623,642,981.183978670667,0.0,
10.0,0.06,12778,1622,642,980.1841663687493,0.0,
10.0,0.06,12812,1620,642,978.1845429161104,0.0,
10.0,0.06,12845,1619,642,977.1847317677451,0.0,
10.0,0.06,12878,1618,642,976.184921006261,0.0,
10.0,0.06,12911,1617,642,975.185110632848,0.0,
10.0,0.06,12942,1616,642,974.1853006487011,0.0,
10.0,0.06,12974,1616,642,974.1853006487011,0.0,
10.0,0.06,13007,1615,642,973.1854910550198,0.0,
10.0,0.06,13041,1615,642,973.1854910550198,0.0,
10.0,0.06,13073,1614,642,972.185681853009,0.0,
10.0,0.06,13103,1614,642,972.185681853009,0.0,
10.0,0.06,13136,1614,642,972.185681853009,0.0,
10.0,0.06,13171,1613,642,971.1858730438782,0.0,
10.0,0.06,13201,1613,642,971.1858730438782,0.0,
10.0,0.06,13233,1613,642,971.1858730438782,0.0,
10.0,0.06,13265,1612,642,970.1860646288422,0.0,
10.0,0.06,13295,1612,642,970.1860646288422,0.0,
10.0,0.06,13329,1611,642,969.1862566091205,0.0,
10.0,0.06,13361,1611,642,969.1862566091205,0.0,
10.0,0.06,13395,1610,642,968.1864489859379,0.0,
10.0,0.06,13428,1609,642,967.1866417605239,0.0,
10.0,0.06,13461,1608,642,966.1868349341136,0.0,
10.0,0.06,13494,1607,642,965.1870285079467,0.0,
10.0,0.06,13528,1606,642,964.1872224832686,0.0,
10.0,0.06,13562,1605,642,963.1874168613292,0.0,
10.0,0.06,13594,1604,642,962.1876116433842,0.0,
10.0,0.06,13628,1603,642,961.1878068306943,0.0,
10.0,0.06,13661,1602,642,960.1880024245252,0.0,
10.0,0.06,13691,1602,642,960.1880024245252,0.0,
10.0,0.06,13721,1600,642,958.18839483684,0.0,
10.0,0.06,13751,1599,642,957.1885916578822,0.0,
10.0,0.06,13782,1598,642,956.1887888905621,0.0,
10.0,0.06,13812,1597,642,955.1889865361724,0.0,
10.0,0.06,13844,1596,642,954.1891845960108,0.0,
10.0,0.06,13878,1595,642,953.189383071381,0.0,
10.0,0.06,13911,1594,642,952.189581963592,0.0,
10.0,0.06,13944,1593,642,951.1897812739579,0.0,
10.0,0.06,13978,1592,642,950.1899810037991,0.0,
10.0,0.06,14011,1592,642,950.1899810037991,0.0,
10.0,0.06,14044,1591,642,949.1901811544408,0.0,
10.0,0.06,14078,1590,642,948.1903817272141,0.0,
10.0,0.06,14111,1590,642,948.1903817272141,0.0,
10.0,0.06,14144,1589,642,947.1905827234559,0.0,
10.0,0.06,14177,1588,642,946.1907841445086,0.0,
10.0,0.06,14211,1588,642,946.1907841445086,0.0,
10.0,0.06,14244,1587,642,945.1909859917201,0.0,
10.0,0.06,14277,1586,642,944.1911882664442,0.0,
10.0,0.06,14311,1585,642,943.1913909700406,0.0,
10.0,0.06,14344,1584,642,942.1915941038744,0.0,
10.0,0.06,14377,1583,642,941.1917976693167,0.0,
